DateTime,Tempc
5/26/2022 15:33,23.1
5/26/2022 16:03,22.6
5/26/2022 16:33,22.1
5/26/2022 17:03,22.6
5/26/2022 17:33,22.1
5/26/2022 18:03,22.1
5/26/2022 18:33,22.1
5/26/2022 19:03,21.1
5/26/2022 19:33,20.6
5/26/2022 20:03,20.1
5/26/2022 20:33,20.1
5/26/2022 21:03,19.6
5/26/2022 21:33,19.6
5/26/2022 22:03,19.1
5/26/2022 22:33,19.1
5/26/2022 23:03,18.6
5/26/2022 23:33,18.1
5/27/2022 0:03,18.6
5/27/2022 0:33,18.1
5/27/2022 1:03,18.6
5/27/2022 1:33,18.1
5/27/2022 2:03,18.1
5/27/2022 2:33,18.1
5/27/2022 3:03,18.1
5/27/2022 3:33,17.1
5/27/2022 4:03,16.6
5/27/2022 4:33,16.6
5/27/2022 5:03,16.6
5/27/2022 5:33,16.6
5/27/2022 6:03,16.6
5/27/2022 6:33,17.1
5/27/2022 7:03,17.1
5/27/2022 7:33,17.6
5/27/2022 8:03,17.6
5/27/2022 8:33,18.1
5/27/2022 9:03,18.6
5/27/2022 9:33,18.6
5/27/2022 10:03,19.1
5/27/2022 10:33,19.1
5/27/2022 11:03,19.6
5/27/2022 11:33,20.1
5/27/2022 12:03,21.1
5/27/2022 12:33,22.1
5/27/2022 13:03,22.1
5/27/2022 13:33,23.1
5/27/2022 14:03,23.6
5/27/2022 14:33,23.6
5/27/2022 15:03,23.1
5/27/2022 15:33,23.1
5/27/2022 16:03,23.1
5/27/2022 16:33,22.6
5/27/2022 17:03,22.6
5/27/2022 17:33,22.6
5/27/2022 18:03,22.1
5/27/2022 18:33,22.1
5/27/2022 19:03,21.6
5/27/2022 19:33,21.6
5/27/2022 20:03,21.1
5/27/2022 20:33,21.1
5/27/2022 21:03,20.6
5/27/2022 21:33,20.6
5/27/2022 22:03,20.6
5/27/2022 22:33,20.6
5/27/2022 23:03,21.1
5/27/2022 23:33,21.1
5/28/2022 0:03,21.1
5/28/2022 0:33,21.1
5/28/2022 1:03,20.1
5/28/2022 1:33,19.6
5/28/2022 2:03,19.1
5/28/2022 2:33,18.1
5/28/2022 3:03,18.1
