"",6/13/2022
"Timezone",-4

"Serial No.","A600000078E4C641"
"Location:","Jericho_11_2_3U"
"High temperature limit (°C)",40.09
"Low temperature limit (°C)",-41.26
"Date - Time","Temperature (°C)"
"5/30/2022 13:23",25.1
"5/30/2022 13:53",26.1
"5/30/2022 14:23",27.1
"5/30/2022 14:53",28.1
"5/30/2022 15:23",27.6
"5/30/2022 15:53",27.1
"5/30/2022 16:23",27.1
"5/30/2022 16:53",26.6
"5/30/2022 17:23",26.1
"5/30/2022 17:53",26.1
"5/30/2022 18:23",25.6
"5/30/2022 18:53",25.1
"5/30/2022 19:23",24.6
"5/30/2022 19:53",24.1
"5/30/2022 20:23",23.6
"5/30/2022 20:53",23.1
"5/30/2022 21:23",22.6
"5/30/2022 21:53",22.6
"5/30/2022 22:23",22.1
"5/30/2022 22:53",22.1
"5/30/2022 23:23",21.6
"5/30/2022 23:53",21.1
"5/31/2022 00:23",21.1
"5/31/2022 00:53",21.1
"5/31/2022 01:23",20.6
"5/31/2022 01:53",20.6
"5/31/2022 02:23",20.6
"5/31/2022 02:53",20.6
"5/31/2022 03:23",20.6
"5/31/2022 03:53",20.6
"5/31/2022 04:23",20.6
"5/31/2022 04:53",20.6
"5/31/2022 05:23",20.6
"5/31/2022 05:53",21.1
"5/31/2022 06:23",20.6
"5/31/2022 06:53",20.1
"5/31/2022 07:23",20.1
"5/31/2022 07:53",20.6
"5/31/2022 08:23",20.6
"5/31/2022 08:53",20.6
"5/31/2022 09:23",19.6
"5/31/2022 09:53",20.1
"5/31/2022 10:23",20.1
"5/31/2022 10:53",19.6
"5/31/2022 11:23",20.6
"5/31/2022 11:53",21.6
"5/31/2022 12:23",22.6
"5/31/2022 12:53",23.1
"5/31/2022 13:23",23.6
"5/31/2022 13:53",23.6
"5/31/2022 14:23",23.6
"5/31/2022 14:53",24.1
"5/31/2022 15:23",23.6
"5/31/2022 15:53",23.6
"5/31/2022 16:23",23.1
"5/31/2022 16:53",22.6
"5/31/2022 17:23",22.6
"5/31/2022 17:53",22.1
"5/31/2022 18:23",21.1
"5/31/2022 18:53",20.6
"5/31/2022 19:23",19.6
"5/31/2022 19:53",18.6
"5/31/2022 20:23",17.6
"5/31/2022 20:53",17.1
"5/31/2022 21:23",16.6
"5/31/2022 21:53",16.1
"5/31/2022 22:23",16.1
"5/31/2022 22:53",16.1
"5/31/2022 23:23",15.6
"5/31/2022 23:53",15.6
"6/1/2022 00:23",15.1
"6/1/2022 00:53",15.1
"6/1/2022 01:23",15.1
"6/1/2022 01:53",15.1
"6/1/2022 02:23",15.1
"6/1/2022 02:53",15.1
"6/1/2022 03:23",15.1
"6/1/2022 03:53",15.1
"6/1/2022 04:23",15.1
"6/1/2022 04:53",15.1
"6/1/2022 05:23",15.1
"6/1/2022 05:53",15.1
"6/1/2022 06:23",15.1
"6/1/2022 06:53",15.1
"6/1/2022 07:23",15.1
"6/1/2022 07:53",15.1
"6/1/2022 08:23",15.1
"6/1/2022 08:53",15.1
"6/1/2022 09:23",14.6
"6/1/2022 09:53",14.1
"6/1/2022 10:23",13.6
"6/1/2022 10:53",13.6
"6/1/2022 11:23",13.6
"6/1/2022 11:53",13.6
"6/1/2022 12:23",13.6
"6/1/2022 12:53",13.6
"6/1/2022 13:23",13.6
"6/1/2022 13:53",13.6
"6/1/2022 14:23",14.1
"6/1/2022 14:53",15.1
"6/1/2022 15:23",15.1
"6/1/2022 15:53",15.1
"6/1/2022 16:23",15.1
"6/1/2022 16:53",15.1
"6/1/2022 17:23",15.1
"6/1/2022 17:53",15.1
"6/1/2022 18:23",14.6
"6/1/2022 18:53",14.6
"6/1/2022 19:23",14.1
"6/1/2022 19:53",14.1
"6/1/2022 20:23",14.1
"6/1/2022 20:53",14.1
"6/1/2022 21:23",14.1
"6/1/2022 21:53",14.1
"6/1/2022 22:23",14.1
"6/1/2022 22:53",14.1
"6/1/2022 23:23",14.1
"6/1/2022 23:53",14.1
"6/2/2022 00:23",14.6
"6/2/2022 00:53",14.1
"6/2/2022 01:23",14.1
"6/2/2022 01:53",14.1
"6/2/2022 02:23",14.6
"6/2/2022 02:53",14.6
"6/2/2022 03:23",14.6
"6/2/2022 03:53",14.6
"6/2/2022 04:23",14.6
"6/2/2022 04:53",14.6
"6/2/2022 05:23",14.1
"6/2/2022 05:53",14.1
"6/2/2022 06:23",14.1
"6/2/2022 06:53",14.1
"6/2/2022 07:23",14.1
"6/2/2022 07:53",14.6
"6/2/2022 08:23",15.1
"6/2/2022 08:53",15.1
"6/2/2022 09:23",15.1
"6/2/2022 09:53",15.6
"6/2/2022 10:23",15.6
"6/2/2022 10:53",15.6
"6/2/2022 11:23",15.6
"6/2/2022 11:53",16.1
"6/2/2022 12:23",16.6
"6/2/2022 12:53",16.6
"6/2/2022 13:23",17.1
"6/2/2022 13:53",17.1
"6/2/2022 14:23",18.1
"6/2/2022 14:53",18.1
"6/2/2022 15:23",17.6
"6/2/2022 15:53",17.6
"6/2/2022 16:23",18.6
"6/2/2022 16:53",18.6
"6/2/2022 17:23",18.1
"6/2/2022 17:53",18.1
"6/2/2022 18:23",18.1
"6/2/2022 18:53",17.6
"6/2/2022 19:23",17.6
