"DateTime","Group","Temp"
2021-11-18 15:59:00,"11_2_5_D",7.6
2021-11-18 16:29:00,"11_2_5_D",7.1
2021-11-18 16:59:00,"11_2_5_D",6.6
2021-11-18 17:29:00,"11_2_5_D",6.6
2021-11-18 17:59:00,"11_2_5_D",6.1
2021-11-18 18:29:00,"11_2_5_D",6.1
2021-11-18 18:59:00,"11_2_5_D",5.6
2021-11-18 19:29:00,"11_2_5_D",5.6
2021-11-18 19:59:00,"11_2_5_D",5.6
2021-11-18 20:29:00,"11_2_5_D",5.1
2021-11-18 20:59:00,"11_2_5_D",4
2021-11-18 21:29:00,"11_2_5_D",3.5
2021-11-18 21:59:00,"11_2_5_D",3.5
2021-11-18 22:29:00,"11_2_5_D",3
2021-11-18 22:59:00,"11_2_5_D",2
2021-11-18 23:29:00,"11_2_5_D",2
2021-11-18 23:59:00,"11_2_5_D",1.5
2021-11-19 00:29:00,"11_2_5_D",1
2021-11-19 00:59:00,"11_2_5_D",1
2021-11-19 01:29:00,"11_2_5_D",1.5
2021-11-19 01:59:00,"11_2_5_D",1.5
2021-11-19 02:29:00,"11_2_5_D",1
2021-11-19 02:59:00,"11_2_5_D",1
2021-11-19 03:29:00,"11_2_5_D",1
2021-11-19 03:59:00,"11_2_5_D",1
2021-11-19 04:29:00,"11_2_5_D",2
2021-11-19 04:59:00,"11_2_5_D",1.5
2021-11-19 05:29:00,"11_2_5_D",1.5
2021-11-19 05:59:00,"11_2_5_D",1.5
2021-11-19 06:29:00,"11_2_5_D",2
2021-11-19 06:59:00,"11_2_5_D",2
2021-11-19 07:29:00,"11_2_5_D",2.5
2021-11-19 07:59:00,"11_2_5_D",3
2021-11-19 08:29:00,"11_2_5_D",3
2021-11-19 08:59:00,"11_2_5_D",3
2021-11-19 09:29:00,"11_2_5_D",2.5
2021-11-19 09:59:00,"11_2_5_D",3.5
2021-11-19 10:29:00,"11_2_5_D",1.5
2021-11-19 10:59:00,"11_2_5_D",2
2021-11-19 11:29:00,"11_2_5_D",2
2021-11-19 11:59:00,"11_2_5_D",3
2021-11-19 12:29:00,"11_2_5_D",1.5
2021-11-19 12:59:00,"11_2_5_D",1.5
2021-11-19 13:29:00,"11_2_5_D",1
2021-11-19 13:59:00,"11_2_5_D",1
2021-11-19 14:29:00,"11_2_5_D",1
2021-11-19 14:59:00,"11_2_5_D",1
2021-11-19 15:29:00,"11_2_5_D",0.5
2021-11-19 15:59:00,"11_2_5_D",0
2021-11-19 16:29:00,"11_2_5_D",-0.5
2021-11-19 16:59:00,"11_2_5_D",-0.5
2021-11-19 17:29:00,"11_2_5_D",-0.5
2021-11-19 17:59:00,"11_2_5_D",0
2021-11-19 18:29:00,"11_2_5_D",0
2021-11-19 18:59:00,"11_2_5_D",0
2021-11-19 19:29:00,"11_2_5_D",0
2021-11-19 19:59:00,"11_2_5_D",0.5
2021-11-19 20:29:00,"11_2_5_D",0.5
2021-11-19 20:59:00,"11_2_5_D",0.5
2021-11-19 21:29:00,"11_2_5_D",0.5
