"Name..SCP_1.csv........."
"User Name	,,,,,,,,,"
"Description:,,,,,,,,,"
"	,,,,,,,,,"
"Start Time:,11/17/2021 15:20,,,,,,,,"
"End Time:,11/17/2021 15:57,,,,,,,,"
"Elapsed Time:,00000Day00:36:54,,,,,,,,"
"Interval:,1 sec,,,,,,,,"
"Data Number:,2215,,,,,,,,"
",,,,,,,,,"
"No.,Data,Time,ID.,CH 1,Type,Unit,CH 2,Type,Unit"
"58,11/17/2021,15:21:22,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"59,11/17/2021,15:21:23,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"60,11/17/2021,15:21:24,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"61,11/17/2021,15:21:25,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"62,11/17/2021,15:21:26,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"63,11/17/2021,15:21:27,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"64,11/17/2021,15:21:28,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"65,11/17/2021,15:21:29,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"66,11/17/2021,15:21:30,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"67,11/17/2021,15:21:31,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"68,11/17/2021,15:21:32,0,-16.8,K,Deg-C,-16.7,K,Deg-C"
"69,11/17/2021,15:21:33,0,-16.9,K,Deg-C,-16.7,K,Deg-C"
"70,11/17/2021,15:21:34,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"71,11/17/2021,15:21:35,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"72,11/17/2021,15:21:36,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"73,11/17/2021,15:21:37,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"74,11/17/2021,15:21:38,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
"75,11/17/2021,15:21:39,0,-16.9,K,Deg-C,-16.8,K,Deg-C"
