"",12/3/2021
"Timezone",-5

"Serial No.","9F00000078DFDF41"
"Location:","Jericho_5_1_3U"
"High temperature limit (°C)",20.19
"Low temperature limit (°C)",-30.25
"Date - Time","Temperature (°C)"
44524.85418,-2.9
44524.87501,-3.4
44524.89584,-2.9
44524.91668,-3.9
44524.93751,-3.9
44524.95834,-4.4
44524.97918,-4.4
44525.00001,-3.4
44525.02084,-3.4
44525.04168,-4.4
44525.06251,-4.4
44525.08334,-4.9
44525.10418,-4.9
44525.12501,-5.4
44525.14584,-5.4
44525.16668,-5.4
44525.18751,-5.4
44525.20834,-5.4
44525.22918,-4.9
44525.25001,-4.4
44525.27084,-3.9
44525.29168,-3.9
44525.31251,-2.9
44525.33334,-2.4
44525.35418,-1.9
44525.37501,-1.4
44525.39584,-1.4
44525.41668,-0.4
44525.43751,0.6
44525.45834,1.1
44525.47918,2.6
44525.50001,3.1
44525.52084,2.6
44525.54168,2.6
44525.56251,2.6
44525.58334,2.6
44525.60418,2.1
44525.62501,2.1
44525.64584,1.6
44525.66668,1.6
44525.68751,1.1
44525.70834,0.6
44525.72918,0.6
44525.75001,1.1
44525.77084,1.1
44525.79168,0.6
44525.81251,1.1
44525.83334,1.1
44525.85418,0.6
44525.87501,0.6
44525.89584,0.6
44525.91668,0.6
44525.93751,0.1
44525.95834,-0.4
44525.97918,-0.4
44526.00001,0.1
44526.02084,-0.4
44526.04168,0.1
44526.06251,-0.4
44526.08334,-0.4
44526.10418,-0.4
44526.12501,0.1
44526.14584,0.1
44526.16668,0.1
44526.18751,0.1
44526.20834,0.1
44526.22918,0.1
44526.25001,0.1
44526.27084,0.1
44526.29168,0.1
44526.31251,0.6
44526.33334,1.1
44526.35418,1.1
44526.37501,1.1
44526.39584,1.1
44526.41668,1.6
44526.43751,1.6
44526.45834,2.1
44526.47918,2.6
44526.50001,3.1
44526.52084,2.6
44526.54168,2.1
44526.56251,1.6
44526.58334,1.1
44526.60418,0.6
44526.62501,0.1
44526.64584,0.1
44526.66668,-0.4
44526.68751,-0.4
44526.70834,-0.4
44526.72918,-0.4
44526.75001,-0.4
44526.77084,-0.4
44526.79168,-0.4
44526.81251,-0.4
44526.83334,-0.4
44526.85418,-0.9
44526.87501,-0.9
44526.89584,-0.9
44526.91668,-1.4
44526.93751,-1.4
44526.95834,-1.4
44526.97918,-1.9
44527.00001,-1.9
44527.02084,-2.4
44527.04168,-2.4
44527.06251,-2.4
44527.08334,-2.4
44527.10418,-2.9
44527.12501,-2.9
44527.14584,-3.4
44527.16668,-3.4
44527.18751,-3.4
44527.20834,-3.9
44527.22918,-3.9
44527.25001,-3.9
44527.27084,-4.4
44527.29168,-4.4
44527.31251,-4.4
44527.33334,-3.9
44527.35418,-3.9
44527.37501,-3.9
44527.39584,-4.4
44527.41668,-3.9
44527.43751,-2.9
44527.45834,-2.4
44527.47918,-1.9
44527.50001,-1.4
44527.52084,-2.4
44527.54168,-2.9
44527.56251,-2.9
44527.58334,-2.9
44527.60418,-3.4
44527.62501,-3.9
44527.64584,-4.4
44527.66668,-4.9
44527.68751,-4.9
44527.70834,-4.9
44527.72918,-4.9
44527.75001,-4.9
44527.77084,-4.9
44527.79168,-4.9
44527.81251,-4.9
44527.83334,-5.4
44527.85418,-6.0
44527.87501,-6.5
44527.89584,-6.5
44527.91668,-7.0
44527.93751,-7.0
44527.95834,-7.0
44527.97918,-7.0
44528.00001,-7.5
44528.02084,-7.5
44528.04168,-7.5
44528.06251,-7.5
44528.08334,-7.5
44528.10418,-8.0
44528.12501,-8.0
44528.14584,-8.5
44528.16668,-9.0
44528.18751,-9.0
44528.20834,-9.0
44528.22918,-9.0
44528.25001,-9.5
44528.27084,-10.0
44528.29168,-10.0
44528.31251,-9.5
44528.33334,-9.0
44528.35418,-8.0
44528.37501,-7.5
44528.39584,-5.4
44528.41668,-3.9
44528.43751,-2.9
44528.45834,-1.9
44528.47918,-1.9
44528.50001,-1.4
44528.52084,-0.9
44528.54168,-1.4
44528.56251,-1.9
44528.58334,-1.9
44528.60418,-2.4
44528.62501,-2.9
44528.64584,-3.4
44528.66668,-3.9
44528.68751,-3.9
44528.70834,-3.9
44528.72918,-4.4
44528.75001,-4.4
44528.77084,-4.4
44528.79168,-4.4
44528.81251,-4.4
44528.83334,-4.4
44528.85418,-4.4
44528.87501,-4.4
44528.89584,-4.4
44528.91668,-4.4
44528.93751,-4.4
44528.95834,-4.4
44528.97918,-4.4
44529.00001,-4.9
44529.02084,-4.9
44529.04168,-4.9
44529.06251,-4.9
44529.08334,-4.9
44529.10418,-4.9
44529.12501,-5.4
44529.14584,-6.0
44529.16668,-6.5
44529.18751,-6.5
44529.20834,-7.0
44529.22918,-7.0
44529.25001,-7.5
44529.27084,-7.5
44529.29168,-7.5
44529.31251,-7.5
44529.33334,-7.0
44529.35418,-6.5
44529.37501,-5.4
44529.39584,-2.4
44529.41668,-2.4
44529.43751,-2.4
44529.45834,-1.4
44529.47918,-2.4
44529.50001,-1.9
44529.52084,-2.4
44529.54168,-2.4
44529.56251,-1.9
44529.58334,-2.9
