STATE,SITE_ID,SITE_NAME,TREE_NUMBER,SPECIES,DBH_CM,CROWN_POSITION,COMMENTS,CROWN_CLASS_IF_ASH_TREE,EAB_SIGNS_EXIT_HOLE,EAB_SIGNS_EPICORMIC_SHOOTS,EAB_SIGNS_WOODPECKER_FEEDING_DAMAGE,EAB_SIGNS_BARK_SPLITS,GRID_ROW,GRID_COLUMN,OBSERVATION_DATE,ORIGIN,POINT_X,POINT_Y
Michigan,28,MR2N,30,white oak,13.6,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 8:00 AM",Research,-84.66,43.13
Michigan,28,MR2N,29,elm,5.9,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:59 AM",Research,-84.66,43.13
Michigan,28,MR2N,28,elm,10.3,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:58 AM",Research,-84.66,43.13
Michigan,28,MR2N,27,elm,4.2,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:57 AM",Research,-84.66,43.13
Michigan,28,MR2N,26,elm,14.5,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:57 AM",Research,-84.66,43.13
Michigan,28,MR2N,25,elm,8.1,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:56 AM",Research,-84.66,43.13
Michigan,28,MR2N,24,elm,12.5,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:55 AM",Research,-84.66,43.13
Michigan,28,MR2N,23,elm,4.3,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:52 AM",Research,-84.66,43.13
Michigan,28,MR2N,22,black ash,9.9,Suppressed,,5,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:50 AM",Research,-84.66,43.13
Michigan,28,MR2N,21,black ash,8.1,Intermediate,,2,No,No,No,No,E,5,"7/21/2011, 7:45 AM",Research,-84.66,43.13
Michigan,28,MR2N,20,black ash,19.9,Co-dominant,,2,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:44 AM",Research,-84.66,43.13
Michigan,28,MR2N,19,black ash,15,Dominant,,3,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:42 AM",Research,-84.66,43.13
Michigan,28,MR2N,18,black ash,6.4,Suppressed,,5,No,Yes,No,No,E,5,"7/21/2011, 7:40 AM",Research,-84.66,43.13
Michigan,28,MR2N,17,black ash,5.3,Suppressed,,5,No,Yes,No,No,E,5,"7/21/2011, 7:39 AM",Research,-84.66,43.13
Michigan,28,MR2N,16,black ash,18.8,Dominant,,4,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:36 AM",Research,-84.66,43.13
Michigan,28,MR2N,15,black ash,21.7,Dominant,,3,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:33 AM",Research,-84.66,43.13
Michigan,28,MR2N,14,black ash,21.8,Dominant,,4,Yes,Yes,Yes,Yes,E,5,"7/21/2011, 7:31 AM",Research,-84.66,43.13
Michigan,28,MR2N,13,black ash,10,Suppressed,,4,No,Yes,Yes,No,E,5,"7/21/2011, 7:29 AM",Research,-84.66,43.13
Michigan,28,MR2N,12,green ash,21.6,Dominant,,4,No,Yes,Yes,Yes,E,5,"7/21/2011, 7:27 AM",Research,-84.66,43.13
Michigan,28,MR2N,11,black ash,18,Co-dominant,,4,Yes,Yes,Yes,Yes,E,5,"7/21/2011, 7:25 AM",Research,-84.66,43.13
Michigan,28,MR2N,10,black ash,22.4,Dominant,,4,Yes,Yes,Yes,Yes,E,5,"7/21/2011, 7:23 AM",Research,-84.66,43.13
Michigan,28,MR2N,9,black ash,11.3,Suppressed,,5,Yes,Yes,Yes,Yes,E,5,"7/21/2011, 7:21 AM",Research,-84.66,43.13
Michigan,28,MR2N,8,green ash,20.7,Dominant,,2,No,No,No,No,E,5,"7/21/2011, 7:18 AM",Research,-84.66,43.13
Michigan,28,MR2N,7,black ash,13.8,Intermediate,,2,No,Yes,No,Yes,E,5,"7/21/2011, 7:17 AM",Research,-84.66,43.13
Michigan,28,MR2N,6,black ash,19.3,Dominant,,2,No,No,No,No,E,5,"7/21/2011, 7:15 AM",Research,-84.66,43.13
Michigan,28,MR2N,5,black ash,6.9,Suppressed,,5,No,No,No,No,E,5,"7/21/2011, 7:13 AM",Research,-84.66,43.13
Michigan,28,MR2N,4,black ash,10.1,Suppressed,,4,No,Yes,Yes,No,E,5,"7/21/2011, 7:10 AM",Research,-84.66,43.13
Michigan,28,MR2N,3,white oak,15.9,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:07 AM",Research,-84.66,43.13
Michigan,28,MR2N,2,basswood,6.6,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:05 AM",Research,-84.66,43.13
Michigan,28,MR2N,1,other species,4,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,5,"7/21/2011, 7:03 AM",Research,-84.66,43.13
Michigan,28,MR2N,6,white ash,5.6,Suppressed,,4,No,Yes,No,Yes,E,6,"7/20/2011, 11:33 AM",Research,-84.66,43.13
Michigan,28,MR2N,6,hickory,5,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:30 AM",Research,-84.66,43.13
Michigan,28,MR2N,4,hickory,11.7,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:29 AM",Research,-84.66,43.13
Michigan,28,MR2N,4,hickory,11.7,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:27 AM",Research,-84.66,43.13
Michigan,28,MR2N,3,hickory,4.4,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:24 AM",Research,-84.66,43.13
Michigan,28,MR2N,1,cherry,14.8,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:22 AM",Research,-84.66,43.13
Michigan,28,MR2N,1,cherry,14.8,Intermediate,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,E,6,"7/20/2011, 11:20 AM",Research,-84.66,43.13
Michigan,28,MR2N,27,white ash,13.3,Co-dominant,,1,No,No,No,No,F,6,"7/20/2011, 10:45 AM",Research,-84.66,43.13
Michigan,28,MR2N,26,elm,6.4,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,F,6,"7/20/2011, 10:44 AM",Research,-84.66,43.13
Michigan,28,MR2N,25,basswood,13.4,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,F,6,"7/20/2011, 10:43 AM",Research,-84.66,43.13
Michigan,28,MR2N,24,elm,5.4,Suppressed,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,F,6,"7/20/2011, 10:42 AM",Research,-84.66,43.13
