Group,Month,Jar,SCP_Value
Feb_2_U,February,2_Open,-26.3
Feb_2_U,February,2_Open,-26.3
Feb_2_D,February,2_Dense,-21.9
Feb_2_D,February,2_Dense,-20.5
Feb_2_D,February,2_Dense,-23.6
Feb_2_D,February,2_Dense,-27.3
Feb_2_D,February,2_Dense,-27
Feb_2_D,February,2_Dense,27.4
Feb_3_U,February,3_Open,-26
Feb_3_U,February,3_Open,-27
Feb_3_U,February,3_Open,-26
Feb_3_U,February,3_Open,-26.2
Feb_3_U,February,3_Open,-26.5
Feb_3_U,February,3_Open,-29.5
Feb_3_U,February,3_Open,-26.9
Feb_3_U,February,3_Open,-26.9
Feb_3_U,February,3_Open,-26.2
Feb_3_D,February,3_Dense,-25.2
Feb_3_D,February,3_Dense,-25
Feb_3_D,February,3_Dense,-26.2
Feb_3_D,February,3_Dense,-23.8
Feb_3_D,February,3_Dense,-24.5
Feb_3_D,February,3_Dense,-25.3
Feb_3_D,February,3_Dense,-26.1
Feb_3_D,February,3_Dense,-24.6
Feb_3_D,February,3_Dense,-25.2
Feb_3_D,February,3_Dense,-26.7
Feb_3_D,February,3_Dense,-27.2
Feb_3_D,February,3_Dense,-27
Feb_3_D,February,3_Dense,-27
Feb_3_D,February,3_Dense,-27.5
Mar_1_U,March,1_Open,-25.4
Mar_1_U,March,1_Open,-26.6
Mar_1_U,March,1_Open,-28.1
Mar_1_U,March,1_Open,-26.5
Mar_1_D,March,1_Dense,-23.7
Mar_1_D,March,1_Dense,-21.1
Mar_1_D,March,1_Dense,-23.8
Mar_1_D,March,1_Dense,-24.7
Mar_1_D,March,1_Dense,-25.7
Mar_1_D,March,1_Dense,-23.5
Mar_1_D,March,1_Dense,-24
Mar_1_D,March,1_Dense,-23.7
Mar_1_D,March,1_Dense,-21.1
Mar_1_D,March,1_Dense,-23.9
Mar_1_D,March,1_Dense,-24.4
Mar_1_D,March,1_Dense,-25.2
Mar_1_D,March,1_Dense,-25.1
Mar_1_D,March,1_Dense,-25
