DateTime,Temperature,Group
11/18/2021 15:59,8,5_1_1_U
11/18/2021 16:29,7.5,5_1_1_U
11/18/2021 16:59,7,5_1_1_U
11/18/2021 17:29,7,5_1_1_U
11/18/2021 17:59,6.5,5_1_1_U
11/18/2021 18:29,6.5,5_1_1_U
11/18/2021 18:59,6,5_1_1_U
11/18/2021 19:29,6,5_1_1_U
11/18/2021 19:59,6,5_1_1_U
11/18/2021 20:29,5.5,5_1_1_U
11/18/2021 20:59,4.5,5_1_1_U
11/18/2021 21:29,4,5_1_1_U
11/18/2021 21:59,3.5,5_1_1_U
11/18/2021 22:29,3,5_1_1_U
11/18/2021 22:59,3,5_1_1_U
11/18/2021 23:29,2.5,5_1_1_U
11/18/2021 23:59,2,5_1_1_U
11/19/2021 0:29,1.5,5_1_1_U
11/19/2021 0:59,1.5,5_1_1_U
11/19/2021 1:29,2,5_1_1_U
11/19/2021 1:59,2,5_1_1_U
11/19/2021 2:29,1.5,5_1_1_U
11/19/2021 2:59,1.5,5_1_1_U
11/19/2021 3:29,1.5,5_1_1_U
11/19/2021 3:59,1.5,5_1_1_U
11/19/2021 4:29,2,5_1_1_U
11/19/2021 4:59,2,5_1_1_U
11/19/2021 5:29,2,5_1_1_U
11/19/2021 5:59,2,5_1_1_U
11/19/2021 6:29,2.5,5_1_1_U
11/19/2021 6:59,2.5,5_1_1_U
11/19/2021 7:29,3,5_1_1_U
11/19/2021 7:59,3.5,5_1_1_U
11/19/2021 8:29,3.5,5_1_1_U
11/19/2021 8:59,3.5,5_1_1_U
11/19/2021 9:29,3,5_1_1_U
11/19/2021 9:59,3.5,5_1_1_U
11/19/2021 10:29,2.5,5_1_1_U
11/19/2021 10:59,2.5,5_1_1_U
11/19/2021 11:29,3,5_1_1_U
11/19/2021 11:59,5,5_1_1_U
11/19/2021 12:29,4,5_1_1_U
11/19/2021 12:59,2.5,5_1_1_U
11/19/2021 13:29,2.5,5_1_1_U
11/19/2021 13:59,1.5,5_1_1_U
11/19/2021 14:29,1.5,5_1_1_U
11/19/2021 14:59,1.5,5_1_1_U
11/19/2021 15:29,1,5_1_1_U
11/19/2021 15:59,0,5_1_1_U
11/19/2021 16:29,0,5_1_1_U
11/19/2021 16:59,0,5_1_1_U
11/19/2021 17:29,0,5_1_1_U
11/19/2021 17:59,0,5_1_1_U
11/19/2021 18:29,0,5_1_1_U
11/19/2021 18:59,0,5_1_1_U
11/19/2021 19:29,0,5_1_1_U
11/19/2021 19:59,0.5,5_1_1_U
11/19/2021 20:29,0.5,5_1_1_U
11/19/2021 20:59,0.5,5_1_1_U
11/19/2021 21:29,0.5,5_1_1_U
11/19/2021 21:59,0.5,5_1_1_U
11/19/2021 22:29,-0.5,5_1_1_U
11/19/2021 22:59,-1,5_1_1_U
11/19/2021 23:29,-1.5,5_1_1_U
11/19/2021 23:59,-1.5,5_1_1_U
11/20/2021 0:29,-1.5,5_1_1_U
11/20/2021 0:59,-1.5,5_1_1_U
11/20/2021 1:29,-2,5_1_1_U
11/20/2021 1:59,-2,5_1_1_U
11/20/2021 2:29,-2,5_1_1_U
11/20/2021 2:59,-2.5,5_1_1_U
11/20/2021 3:29,-2.5,5_1_1_U
11/20/2021 3:59,-2.5,5_1_1_U
11/20/2021 4:29,-2.5,5_1_1_U
11/20/2021 4:59,-3,5_1_1_U
11/20/2021 5:29,-3,5_1_1_U
11/20/2021 5:59,-3,5_1_1_U
11/20/2021 6:29,-3,5_1_1_U
11/20/2021 6:59,-3,5_1_1_U
11/20/2021 7:29,-2.5,5_1_1_U
11/20/2021 7:59,-2,5_1_1_U
11/20/2021 8:29,0,5_1_1_U
11/20/2021 8:59,0.5,5_1_1_U
11/20/2021 9:29,3.5,5_1_1_U
11/20/2021 9:59,6,5_1_1_U
11/20/2021 10:29,5,5_1_1_U
11/20/2021 10:59,4,5_1_1_U
11/20/2021 11:29,5.5,5_1_1_U
11/20/2021 11:59,6,5_1_1_U
11/20/2021 12:29,8,5_1_1_U
11/20/2021 12:59,6,5_1_1_U
11/20/2021 13:29,6,5_1_1_U
11/20/2021 13:59,6,5_1_1_U
11/20/2021 14:29,4.5,5_1_1_U
11/20/2021 14:59,2.5,5_1_1_U
11/20/2021 15:29,2,5_1_1_U
11/20/2021 15:59,2,5_1_1_U
11/20/2021 16:29,1,5_1_1_U
11/20/2021 16:59,1,5_1_1_U
11/20/2021 17:29,1,5_1_1_U
11/20/2021 17:59,1.5,5_1_1_U
11/20/2021 18:29,1.5,5_1_1_U
11/20/2021 18:59,1.5,5_1_1_U
11/20/2021 19:29,1,5_1_1_U
11/20/2021 19:59,2.5,5_1_1_U
11/20/2021 20:29,3,5_1_1_U
11/20/2021 20:59,3.5,5_1_1_U
11/20/2021 21:29,3.5,5_1_1_U
11/20/2021 21:59,3.5,5_1_1_U
11/20/2021 22:29,3.5,5_1_1_U
11/20/2021 22:59,3.5,5_1_1_U
11/20/2021 23:29,3.5,5_1_1_U
11/20/2021 23:59,3.5,5_1_1_U
11/21/2021 0:29,3,5_1_1_U
11/21/2021 0:59,3,5_1_1_U
11/21/2021 1:29,3,5_1_1_U
11/21/2021 1:59,3,5_1_1_U
11/21/2021 2:29,3.5,5_1_1_U
11/21/2021 2:59,3.5,5_1_1_U
11/21/2021 3:29,3.5,5_1_1_U
11/21/2021 3:59,3.5,5_1_1_U
11/21/2021 4:29,3.5,5_1_1_U
11/21/2021 4:59,3.5,5_1_1_U
11/21/2021 5:29,3,5_1_1_U
11/21/2021 5:59,2,5_1_1_U
11/21/2021 6:29,1.5,5_1_1_U
11/21/2021 6:59,2,5_1_1_U
11/21/2021 7:29,2.5,5_1_1_U
11/21/2021 7:59,4,5_1_1_U
11/21/2021 8:29,4.5,5_1_1_U
11/21/2021 8:59,5.5,5_1_1_U
11/21/2021 9:29,7,5_1_1_U
11/21/2021 9:59,9.6,5_1_1_U
11/21/2021 10:29,9.1,5_1_1_U
11/21/2021 10:59,8.5,5_1_1_U
11/21/2021 11:29,9.6,5_1_1_U
11/21/2021 11:59,11.6,5_1_1_U
11/21/2021 12:29,13.1,5_1_1_U
11/21/2021 12:59,10.6,5_1_1_U
11/21/2021 13:29,10.1,5_1_1_U
11/21/2021 13:59,9.1,5_1_1_U
11/21/2021 14:29,8,5_1_1_U
11/21/2021 14:59,7,5_1_1_U
11/21/2021 15:29,5.5,5_1_1_U
11/21/2021 15:59,5.5,5_1_1_U
11/21/2021 16:29,5.5,5_1_1_U
11/21/2021 16:59,5,5_1_1_U
11/21/2021 17:29,5,5_1_1_U
11/21/2021 17:59,5.5,5_1_1_U
11/21/2021 18:29,4.5,5_1_1_U
11/21/2021 18:59,4,5_1_1_U
11/21/2021 19:29,3.5,5_1_1_U
11/21/2021 19:59,3.5,5_1_1_U
11/21/2021 20:29,3.5,5_1_1_U
11/21/2021 20:59,3.5,5_1_1_U
11/21/2021 21:29,3.5,5_1_1_U
11/21/2021 21:59,4,5_1_1_U
11/21/2021 22:29,4,5_1_1_U
11/21/2021 22:59,5.5,5_1_1_U
11/21/2021 23:29,6.5,5_1_1_U
11/21/2021 23:59,7,5_1_1_U
11/22/2021 0:29,7,5_1_1_U
11/22/2021 0:59,7,5_1_1_U
11/22/2021 1:29,7,5_1_1_U
11/22/2021 1:59,7,5_1_1_U
11/22/2021 2:29,7,5_1_1_U
11/22/2021 2:59,7,5_1_1_U
11/22/2021 3:29,7,5_1_1_U
11/22/2021 3:59,7,5_1_1_U
11/22/2021 4:29,7,5_1_1_U
11/22/2021 4:59,7,5_1_1_U
11/22/2021 5:29,6.5,5_1_1_U
11/22/2021 5:59,6,5_1_1_U
11/22/2021 6:29,6,5_1_1_U
11/22/2021 6:59,6,5_1_1_U
11/22/2021 7:29,7,5_1_1_U
11/22/2021 7:59,7.5,5_1_1_U
11/22/2021 8:29,5,5_1_1_U
11/22/2021 8:59,5,5_1_1_U
11/22/2021 9:29,4.5,5_1_1_U
11/22/2021 9:59,4,5_1_1_U
11/22/2021 10:29,5,5_1_1_U
11/22/2021 10:59,5.5,5_1_1_U
11/22/2021 11:29,4.5,5_1_1_U
11/22/2021 11:59,5,5_1_1_U
